days_since_infection,median,lower_95,upper_95
11.3,0.0823801238,0.0208387164,0.1827751774
11.4,0.0790864278,0.0193257852,0.1764952424
11.5,0.0755680823,0.0180465432,0.1715088347
11.6,0.0723747495,0.0167067936,0.1665090696
11.7,0.0692156092,0.0156080105,0.1617221216
11.8,0.0663302589,0.0145968257,0.1562814147
11.9,0.0634088124,0.0135896083,0.1516674018
12,0.0605572743,0.0125665828,0.1472932223
12.1,0.0580247744,0.0114230867,0.1428362546
12.2,0.0554994516,0.0105304499,0.1384730376
12.3,0.0530202681,0.0096953167,0.1343923701
12.4,0.0507274427,0.0089336081,0.1312933502
12.5,0.0485329696,0.0082473787,0.1275881888
12.6,0.0465189452,0.0076166634,0.1238932218
12.7,0.0446323165,0.0069888808,0.1205662882
12.8,0.0427861177,0.0064489144,0.1169700133
12.9,0.0409182753,0.0059992214,0.1131500051
13,0.0390531152,0.0056151321,0.110472017
13.1,0.0374056687,0.0052790639,0.1077138555
13.2,0.0357321255,0.0049629703,0.1047778089
13.3,0.034093953,0.0046117463,0.1013576898
13.4,0.0325284853,0.004253372,0.0985107905
13.5,0.0310583583,0.0038988506,0.0953853308
13.6,0.0296210385,0.0035976363,0.0930059718
13.7,0.0282436876,0.0033160995,0.0901572803
13.8,0.0270526553,0.0030357908,0.0877985828
13.9,0.0258452593,0.0027910558,0.0858945393
14,0.024762142,0.0025477525,0.0833363882
14.1,0.0236892856,0.0023295939,0.0807476838
14.2,0.0226646021,0.0021598825,0.0785565846
14.3,0.0216652772,0.0019735724,0.0763906239
14.4,0.0207055897,0.001824508,0.0743945955
14.5,0.019812202,0.0016864111,0.0726697482
14.6,0.0189364678,0.0015579237,0.0706319098
14.7,0.0180739656,0.0014408078,0.0685238138
14.8,0.0172131994,0.0013318726,0.06683273
14.9,0.01641867,0.0012308488,0.0649374306
15,0.0157276315,0.0011245746,0.0630719557
15.1,0.0149690266,0.001043814,0.0612440976
15.2,0.0143018592,0.0009719384,0.0594659517
15.3,0.0136726311,0.0008874969,0.0578517941
15.4,0.0130526476,0.0008186331,0.0561917878
15.5,0.0124546929,0.0007562223,0.0547735271
15.6,0.011899096,0.0006984679,0.0532785245
15.7,0.0113651489,0.0006450111,0.0516436492
15.8,0.0108481526,0.0005900609,0.0503339635
15.9,0.0103614297,0.0005328883,0.0490549485
16,0.009899942,0.0004867821,0.0477743879
16.1,0.0094526949,0.0004489167,0.0462949494
16.2,0.0090427463,0.0004146459,0.044915907
16.3,0.0086389736,0.0003829912,0.0436308359
16.4,0.0082485745,0.0003538147,0.0425556387
16.5,0.0078831463,0.0003268917,0.0415052424
16.6,0.0075300344,0.0002980458,0.0404430914
16.7,0.0071960869,0.000272115,0.0393068722
16.8,0.0068742309,0.0002515621,0.0381425067
16.9,0.0065516776,0.0002301206,0.0371895713
17,0.0062640436,0.0002132882,0.0361361892
17.1,0.005983807,0.0001979091,0.0351159294
17.2,0.0057098386,0.0001838384,0.0342193902
17.3,0.0054405943,0.0001703522,0.0334301254
17.4,0.005190881,0.0001571463,0.0325561779
17.5,0.0049554762,0.0001446506,0.0317675592
17.6,0.0047260869,0.0001317483,0.030784394
17.7,0.0045104608,0.000120388,0.029961888
17.8,0.0043021848,0.0001111392,0.0291790627
17.9,0.0041010031,0.0001029119,0.028388918
18,0.0039208208,9.52E-05,0.0276238677
18.1,0.0037530632,8.72E-05,0.0269377329
18.2,0.0035829235,7.99E-05,0.0262493466
18.3,0.003418269,7.41E-05,0.0255639509
18.4,0.0032598521,6.87E-05,0.0248959951
18.5,0.0031156789,6.26E-05,0.0242432142
18.6,0.0029705521,5.75E-05,0.0235436188
18.7,0.0028366875,5.23E-05,0.0228204963
18.8,0.002712405,4.75E-05,0.022139221
18.9,0.002584497,4.34E-05,0.021518116
19,0.0024651114,3.99E-05,0.0209781764
19.1,0.0023545917,3.67E-05,0.0205071037
19.2,0.0022488206,3.37E-05,0.0199362845
19.3,0.0021523791,3.10E-05,0.0194441231
19.4,0.0020524545,2.84E-05,0.018833086
19.5,0.001959152,2.62E-05,0.0183332754
19.6,0.0018682283,2.42E-05,0.0179022499
19.7,0.0017862946,2.24E-05,0.0174831384
19.8,0.0017067912,2.07E-05,0.0170674313
19.9,0.0016293897,1.90E-05,0.0165337467
20,0.0015556208,1.75E-05,0.0160147257
20.1,0.0014812601,1.62E-05,0.0155880765
20.2,0.0014156086,1.49E-05,0.0151842052
20.3,0.0013503487,1.38E-05,0.0147895852
20.4,0.0012866728,1.27E-05,0.0143194098
20.5,0.0012280765,1.17E-05,0.0138351381
20.6,0.0011696642,1.08E-05,0.0134658263
20.7,0.0011129765,1.00E-05,0.0131122071
20.8,0.0010622938,9.23E-06,0.0127677559
20.9,0.0010130296,8.52E-06,0.0124346484
21,0.0009649049,7.87E-06,0.0121009507
21.1,0.0009196659,7.26E-06,0.0117542947
21.2,0.0008778491,6.70E-06,0.0114174563
21.3,0.000836384,6.17E-06,0.0110898068
21.4,0.0007998319,5.67E-06,0.010771076
21.5,0.0007630125,5.22E-06,0.0104614089
21.6,0.0007305478,4.77E-06,0.0101605533
21.7,0.0006965046,4.35E-06,0.0098682635
21.8,0.0006640243,3.99E-06,0.0095843007
21.9,0.0006327681,3.65E-06,0.0093084322
22,0.0006029484,3.35E-06,0.0090524353
22.1,0.0005747656,3.07E-06,0.0088178894
22.2,0.0005478282,2.81E-06,0.0085811971
22.3,0.0005238651,2.58E-06,0.0083679991
22.4,0.0005012024,2.37E-06,0.0081521003
22.5,0.000478541,2.18E-06,0.0079416824
22.6,0.0004562708,1.99E-06,0.0077358217
22.7,0.0004350918,1.82E-06,0.0075331952
22.8,0.0004145708,1.68E-06,0.0073203334
22.9,0.0003958147,1.56E-06,0.0071134442
23,0.0003781096,1.44E-06,0.0069123626
23.1,0.0003615816,1.32E-06,0.0067169277
23.2,0.0003457532,1.20E-06,0.006526983
23.3,0.0003301294,1.10E-06,0.0063423764
23.4,0.0003149458,1.01E-06,0.0061629597
23.5,0.0003007404,9.37E-07,0.0059882044
23.6,0.0002870378,8.62E-07,0.0058180452
23.7,0.000273878,7.88E-07,0.0056526944
23.8,0.0002612575,7.20E-07,0.0054920177
23.9,0.000249049,6.58E-07,0.0053358843
24,0.000238007,6.02E-07,0.0051841671
24.1,0.0002270165,5.50E-07,0.0050367425
24.2,0.0002167667,5.03E-07,0.0049032268
24.3,0.0002065262,4.60E-07,0.0047611423
24.4,0.0001972034,4.20E-07,0.004644018
24.5,0.0001882877,3.84E-07,0.0045269774
24.6,0.0001792873,3.51E-07,0.0043779616
24.7,0.0001707315,3.21E-07,0.0042385698
24.8,0.0001627766,2.93E-07,0.004118563
24.9,0.0001553258,2.68E-07,0.0040060357
25,0.000148439,2.45E-07,0.003898757
25.1,0.0001417453,2.24E-07,0.0037943414
25.2,0.0001351976,2.07E-07,0.0036927131
25.3,0.000128877,1.91E-07,0.0035991571
25.4,0.0001227323,1.77E-07,0.0035089177
25.5,0.0001169047,1.63E-07,0.0034065111
25.6,0.0001115873,1.51E-07,0.0033134438
25.7,0.0001065607,1.40E-07,0.0032250976
25.8,0.0001017951,1.29E-07,0.003143028
25.9,9.71E-05,1.19E-07,0.0030702844
26,9.26E-05,1.10E-07,0.0029990131
26.1,8.84E-05,1.02E-07,0.0029137424
26.2,8.44E-05,9.41E-08,0.0028230833
26.3,8.06E-05,8.66E-08,0.0027413005
26.4,7.69E-05,7.91E-08,0.0026678589
26.5,7.34E-05,7.22E-08,0.0025963803
26.6,7.01E-05,6.59E-08,0.0025218662
26.7,6.69E-05,6.02E-08,0.0024477591
26.8,6.38E-05,5.56E-08,0.002375825
26.9,6.08E-05,5.15E-08,0.0023111691
27,5.81E-05,4.77E-08,0.0022498661
27.1,5.54E-05,4.42E-08,0.0021901857
27.2,5.29E-05,4.10E-08,0.002132085
27.3,5.06E-05,3.80E-08,0.0020755223
27.4,4.81E-05,3.52E-08,0.0020204572
27.5,4.59E-05,3.23E-08,0.0019668501
27.6,4.39E-05,2.96E-08,0.0019146626
27.7,4.19E-05,2.71E-08,0.0018638572
27.8,4.00E-05,2.49E-08,0.0018143975
27.9,3.82E-05,2.29E-08,0.001766248
28,3.65E-05,2.12E-08,0.001719374
28.1,3.48E-05,1.95E-08,0.0016737419
28.2,3.32E-05,1.80E-08,0.0016293189
28.3,3.17E-05,1.66E-08,0.0015860731
28.4,3.02E-05,1.53E-08,0.0015444891
28.5,2.88E-05,1.41E-08,0.0015047066
28.6,2.74E-05,1.30E-08,0.0014659474
28.7,2.62E-05,1.19E-08,0.0014281851
28.8,2.50E-05,1.09E-08,0.0013913943
